Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time,rand,Fighter1_Fighter2
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Cory Sandhagen,Cory Sandhagen,Marlon Vera,0-0,128-58,Mar-00,0-1,Bantamweight,S-DEC,5,5:00,0.012169252,Cory Sandhagen
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Holly Holm,Holly Holm,Yana Santos,0-0,32-21,Apr-00,0-0,Women's Bantamweight,U-DEC,3,5:00,0.949919516,Yana Santos
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Nate Landwehr,Nate Landwehr,Austin Lingo,0-0,64-48,Jan-00,Jan-00,Featherweight,SUB-Rear-Naked-Choke,2,4:11,0.302052035,Nate Landwehr
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Maycee Barber,Maycee Barber,Andrea Lee,0-0,48-39,5-Feb,0-0,Women's Flyweight,S-DEC,3,5:00,0.639178334,Andrea Lee
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Albert Duraev,Albert Duraev,Chidi Njokuani,0-0,45-40,Feb-00,0-0,Middleweight,S-DEC,3,5:00,0.654770364,Chidi Njokuani
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Daniel Pineda,Daniel Pineda,Tucker Lutz,Jan-00,24-28,Jan-00,Feb-00,Featherweight,SUB-Guillotine-Choke,2,2:50,0.030989792,Daniel Pineda
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Lucas Alexander,Lucas Alexander,Steven Peterson,Jan-00,85-26,0-0,0-0,Featherweight,U-DEC,3,5:00,0.477271618,Lucas Alexander
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Trevin Giles,Trevin Giles,Preston Parsons,0-0,55-42,0-3,0-3,Welterweight,S-DEC,3,5:00,0.555459957,Preston Parsons
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,CJ Vergara,CJ Vergara,Daniel Lacerda,0-2,83-48,0-1,2-Jan,Flyweight,KO/TKO-Elbows,2,4:04,0.337072706,CJ Vergara
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Victor Altamirano,Victor Altamirano,Vinicius Salvador,0-0,62-47,1-Mar,0-0,Flyweight,U-DEC,3,5:00,0.634403974,Vinicius Salvador
UFC 286: Edwards vs. Usman 3,18-Mar-23,Leon Edwards,Leon Edwards,Kamaru Usman,0-0,120-87,0-4,0-0,Welterweight,M-DEC,5,5:00,0.180683511,Leon Edwards
UFC 286: Edwards vs. Usman 3,18-Mar-23,Justin Gaethje,Justin Gaethje,Rafael Fiziev,0-0,103-97,Jan-00,0-0,Lightweight,M-DEC,3,5:00,0.624639989,Rafael Fiziev
UFC 286: Edwards vs. Usman 3,18-Mar-23,Gunnar Nelson,Gunnar Nelson,Bryan Barberena,0-0,7-Oct,Jan-00,Jan-00,Welterweight,SUB-Armbar,1,4:51,0.748071148,Bryan Barberena
UFC 286: Edwards vs. Usman 3,18-Mar-23,Jennifer Maia,Jennifer Maia,Casey O'Neill,0-0,145-137,0-0,0-0,Women's Flyweight,U-DEC,3,5:00,0.031594795,Jennifer Maia
UFC 286: Edwards vs. Usman 3,18-Mar-23,Marvin Vettori,Marvin Vettori,Roman Dolidze,0-0,106-71,0-0,0-0,Middleweight,U-DEC,3,5:00,0.488284794,Marvin Vettori
UFC 286: Edwards vs. Usman 3,18-Mar-23,Jack Shore,Jack Shore,Makwan Amirkhani,0-0,28-10,1-Jan,Jan-00,Featherweight,SUB-Rear-Naked-Choke,2,4:27,0.400279387,Jack Shore
UFC 286: Edwards vs. Usman 3,18-Mar-23,Chris Duncan,Chris Duncan,Omar Morales,0-0,53-47,May-00,0-0,Lightweight,S-DEC,3,5:00,0.729261473,Omar Morales
UFC 286: Edwards vs. Usman 3,18-Mar-23,Yanal Ashmouz,Yanal Ashmouz,Sam Patterson,0-0,15-2,Jan-00,0-0,Lightweight,KO/TKO-Punches,1,1:15,0.925533318,Sam Patterson
UFC 286: Edwards vs. Usman 3,18-Mar-23,Muhammad Mokaev,Muhammad Mokaev,Jafel Filho,0-0,16-9,Apr-00,2-Feb,Flyweight,SUB-Neck-Crank,3,4:32,0.775956375,Jafel Filho
UFC 286: Edwards vs. Usman 3,18-Mar-23,Lerone Murphy,Lerone Murphy,Gabriel Santos,0-0,93-69,5-Jan,0-0,Featherweight,S-DEC,3,5:00,0.820335804,Gabriel Santos
UFC 286: Edwards vs. Usman 3,18-Mar-23,Christian Duncan,Christian Duncan,Dusko Todorovic,0-0,4-Sep,0-0,0-0,Middleweight,KO/TKO,1,1:52,0.152792346,Christian Duncan
UFC 286: Edwards vs. Usman 3,18-Mar-23,Jake Hadley,Jake Hadley,Malcolm Gordon,Jan-00,3-Oct,0-0,0-0,Flyweight,KO/TKO-Punch,1,1:01,0.33667425,Jake Hadley
UFC 286: Edwards vs. Usman 3,18-Mar-23,Joanne Wood,Joanne Wood,Luana Carolina,0-0,131-100,Feb-00,0-0,Women's Flyweight,S-DEC,3,5:00,0.241868989,Joanne Wood
UFC 286: Edwards vs. Usman 3,18-Mar-23,Draw,Jai Herbert,Ludovit Klein,0-0,43-47,2-Jan,0-0,Lightweight,M-DEC,3,5:00,0.506879424,Ludovit Klein
UFC 286: Edwards vs. Usman 3,18-Mar-23,Veronica Hardy,Veronica Hardy,Juliana Miller,0-0,62-30,Apr-00,0-3,Women's Flyweight,U-DEC,3,5:00,0.33063931,Veronica Hardy
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Merab Dvalishvili,Merab Dvalishvili,Petr Yan,0-0,147-75,1-Nov,0-0,Bantamweight,U-DEC,5,5:00,0.957365358,Petr Yan
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Alexander Volkov,Alexander Volkov,Alexandr Romanov,0-0,Dec-00,0-0,0-0,Heavyweight,KO/TKO-Punches,1,2:16,0.892776179,Alexandr Romanov
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Nikita Krylov,Nikita Krylov,Ryan Spann,0-0,5-Jul,1-Feb,1-Feb,Catch Weight,SUB-Triangle-Choke,1,3:38,0.584783099,Ryan Spann
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Jonathan Martinez,Jonathan Martinez,Said Nurmagomedov,0-0,38-47,0-3,2-Jan,Bantamweight,U-DEC,3,5:00,0.0057923,Jonathan Martinez
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Mario Bautista,Mario Bautista,Guido Cannetti,0-0,2-Mar,1-Mar,Jan-00,Bantamweight,SUB-Rear-Naked-Choke,1,3:18,0.19556327,Mario Bautista
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Vitor Petrino,Vitor Petrino,Anton Turkalj,0-0,39-33,5-Jul,Jan-00,Light Heavyweight,U-DEC,3,5:00,0.480777619,Vitor Petrino
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Karl Williams,Karl Williams,Lukasz Brzeski,Jan-00,38-26,Aug-00,0-0,Heavyweight,U-DEC,3,5:00,0.463308987,Karl Williams
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Davey Grant,Davey Grant,Raphael Assuncao,Jan-00,65-42,0-5,Jan-00,Bantamweight,SUB-Inverted-Triangle,3,4:43,0.099088161,Davey Grant
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Josh Fremd,Josh Fremd,Sedriques Dumas,0-0,33-20,Feb-00,Feb-00,Middleweight,SUB-Guillotine-Choke,2,3:00,0.683849661,Sedriques Dumas
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Victor Henry,Victor Henry,Tony Gravely,0-0,154-75,0-3,Feb-00,Bantamweight,S-DEC,3,5:00,0.397314532,Victor Henry
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Ariane Lipski,Ariane Lipski,JJ Aldrich,0-0,101-49,Feb-00,0-0,Women's Flyweight,U-DEC,3,5:00,0.379484171,Ariane Lipski
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Bruno Silva,Bruno Silva,Tyson Nam,Jan-00,23-12,0-0,Jan-00,Flyweight,SUB-Rear-Naked-Choke,2,1:23,0.690201065,Tyson Nam
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Carlston Harris,Carlston Harris,Jared Gooden,0-0,63-51,May-00,0-0,Welterweight,U-DEC,3,5:00,0.615600319,Jared Gooden
UFC 285: Jones vs. Gane,4-Mar-23,Jon Jones,Jon Jones,Ciryl Gane,0-0,6-May,Feb-00,Jan-00,Heavyweight,SUB-Guillotine-Choke,1,2:04,0.104822299,Jon Jones
UFC 285: Jones vs. Gane,4-Mar-23,Alexa Grasso,Alexa Grasso,Valentina Shevchenko,0-0,59-87,0-4,Jan-00,Women's Flyweight,SUB-Rear-Naked-Choke,4,4:34,0.172485908,Alexa Grasso
UFC 285: Jones vs. Gane,4-Mar-23,Shavkat Rakhmonov,Shavkat Rakhmonov,Geoff Neal,0-0,113-69,0-0,Jan-00,Welterweight,SUB-Rear-Naked-Choke,3,4:17,0.58561556,Geoff Neal
UFC 285: Jones vs. Gane,4-Mar-23,Mateusz Gamrot,Mateusz Gamrot,Jalin Turner,0-1,29-40,Apr-00,0-0,Lightweight,S-DEC,3,5:00,0.641322155,Jalin Turner
UFC 285: Jones vs. Gane,4-Mar-23,Bo Nickal,Bo Nickal,Jamie Pickett,0-0,1-Jan,Jan-00,Feb-00,Middleweight,SUB-Arm-Triangle,1,2:54,0.830519251,Jamie Pickett
UFC 285: Jones vs. Gane,4-Mar-23,Cody Garbrandt,Cody Garbrandt,Trevin Jones,0-0,26-20,1-Feb,0-1,Bantamweight,U-DEC,3,5:00,0.214733028,Cody Garbrandt
UFC 285: Jones vs. Gane,4-Mar-23,Dricus Du Plessis,Dricus Du Plessis,Derek Brunson,Jan-00,71-37,1-Jan,1-Jan,Middleweight,KO/TKO-Punches,2,4:59,0.168219814,Dricus Du Plessis
UFC 285: Jones vs. Gane,4-Mar-23,Amanda Ribas,Amanda Ribas,Viviane Araujo,0-0,98-46,Feb-00,0-2,Women's Flyweight,U-DEC,3,5:00,0.344174524,Amanda Ribas
UFC 285: Jones vs. Gane,4-Mar-23,Marc-Andre Barriault,Marc-Andre Barriault,Julian Marquez,0-0,109-82,0-0,0-0,Middleweight,KO/TKO-Punches,2,4:12,0.074238704,Marc-Andre Barriault
UFC 285: Jones vs. Gane,4-Mar-23,Ian Garry,Ian Garry,Song Kenan,1-Jan,127-55,0-2,0-0,Welterweight,KO/TKO-Punches,3,4:22,0.247202985,Ian Garry
UFC 285: Jones vs. Gane,4-Mar-23,Cameron Saaiman,Cameron Saaiman,Mana Martinez,Jan-00,117-60,Jan-00,0-0,Bantamweight,M-DEC,3,5:00,0.035802996,Cameron Saaiman
UFC 285: Jones vs. Gane,4-Mar-23,Tabatha Ricci,Tabatha Ricci,Jessica Penne,0-0,36-6,Apr-00,Jan-00,Women's Strawweight,SUB-Armbar,2,2:14,0.773520183,Jessica Penne
UFC 285: Jones vs. Gane,4-Mar-23,Farid Basharat,Farid Basharat,Da'Mon Blackshear,0-0,58-46,1-Mar,0-1,Bantamweight,U-DEC,3,5:00,0.46633318,Farid Basharat
UFC 285: Jones vs. Gane,4-Mar-23,Loik Radzhabov,Loik Radzhabov,Esteban Ribovics,0-1,40-66,Nov-00,0-1,Lightweight,U-DEC,3,5:00,0.174489393,Loik Radzhabov
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Brendan Allen,Brendan Allen,Andre Muniz,0-0,42-43,Jan-00,Feb-00,Middleweight,SUB-Rear-Naked-Choke,3,4:25,0.065549449,Brendan Allen
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Augusto Sakai,Augusto Sakai,Don'Tale Mayes,0-0,53-29,Jan-00,0-0,Heavyweight,U-DEC,3,5:00,0.457081635,Augusto Sakai
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Tatiana Suarez,Tatiana Suarez,Montana De La Rosa,0-0,5-Oct,Feb-00,Jan-00,Women's Flyweight,SUB-Guillotine-Choke,2,2:51,0.183250148,Tatiana Suarez
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Mike Malott,Mike Malott,Yohan Lainesse,0-0,1-Sep,Jan-00,Jan-00,Welterweight,SUB-Arm-Triangle,1,4:15,0.106155589,Mike Malott
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Trevor Peek,Trevor Peek,Erick Gonzalez,Feb-00,51-7,0-4,0-0,Lightweight,KO/TKO-Punch,1,4:59,0.099707965,Trevor Peek
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Jasmine Jasudavicius,Jasmine Jasudavicius,Gabriella Fernandes,0-0,24-26,Apr-00,0-0,Women's Flyweight,U-DEC,3,5:00,0.920148605,Gabriella Fernandes
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Jordan Leavitt,Jordan Leavitt,Victor Martinez,Jan-00,17-7,0-0,0-0,Lightweight,KO/TKO-Knees,1,2:27,0.397866136,Jordan Leavitt
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Ode Osbourne,Ode Osbourne,Charles Johnson,0-0,48-60,1-Mar,0-0,Catch Weight,S-DEC,3,5:00,0.946387232,Charles Johnson
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Joe Solecki,Joe Solecki,Carl Deaton,0-0,1-Feb,Feb-00,Mar-00,Lightweight,SUB-Rear-Naked-Choke,2,4:55,0.107058912,Joe Solecki
UFC Fight Night: Muniz vs. Allen,25-Feb-23,Nurullo Aliev,Nurullo Aliev,Rafael Alves,0-0,19-6,Mar-00,0-2,Lightweight,M-DEC,3,5:00,0.909521458,Rafael Alves
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Erin Blanchfield,Erin Blanchfield,Jessica Andrade,0-0,51-53,Jan-00,Jan-00,Women's Flyweight,SUB-Rear-Naked-Choke,2,1:37,0.901007955,Jessica Andrade
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Zac Pauga,Zac Pauga,Jordan Wright,0-0,59-29,0-0,0-0,Light Heavyweight,U-DEC,3,5:00,0.34013315,Zac Pauga
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Jamal Pogues,Jamal Pogues,Josh Parisian,0-0,33-37,1-May,0-0,Heavyweight,U-DEC,3,5:00,0.614047232,Josh Parisian
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Marcin Prachnio,Marcin Prachnio,William Knight,0-0,79-8,0-0,0-0,Light Heavyweight,U-DEC,3,5:00,0.243542686,Marcin Prachnio
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Alexander Hernandez,Alexander Hernandez,Jim Miller,0-0,108-67,0-0,0-1,Lightweight,U-DEC,3,5:00,0.764344465,Jim Miller
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Nazim Sadykhov,Nazim Sadykhov,Evan Elder,0-1,64-70,1-Jan,0-0,Lightweight,KO/TKO,3,0:38,0.743152441,Evan Elder
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Mayra Bueno Silva,Mayra Bueno Silva,Lina Lansberg,0-0,39-25,Feb-00,Jan-00,Women's Bantamweight,SUB-Kneebar,2,4:45,0.98991732,Lina Lansberg
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Jamall Emmers,Jamall Emmers,Khusein Askhabov,0-0,62-30,Jan-00,0-0,Featherweight,U-DEC,3,5:00,0.299015028,Jamall Emmers
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Philipe Lins,Philipe Lins,Ovince Saint Preux,Jan-00,18-1,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,0:49,0.246834042,Philipe Lins
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,AJ Fletcher,AJ Fletcher,Themba Gorimbo,0-0,6-Jul,0-2,Jan-00,Welterweight,SUB-Guillotine-Choke,2,1:37,0.562874362,Themba Gorimbo
UFC Fight Night: Andrade vs. Blanchfield,18-Feb-23,Clayton Carpenter,Clayton Carpenter,Juancamilo Ronderos,0-0,1-Mar,0-1,Mar-00,Flyweight,SUB-Rear-Naked-Choke,1,3:13,0.226975879,Clayton Carpenter
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Islam Makhachev,Islam Makhachev,Alexander Volkanovski,0-1,57-70,Apr-00,0-0,Lightweight,U-DEC,5,5:00,0.601942326,Alexander Volkanovski
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Yair Rodriguez,Yair Rodriguez,Josh Emmett,0-0,62-22,0-1,Jan-00,Featherweight,SUB-Triangle-Choke,2,4:19,0.371584325,Yair Rodriguez
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Jack Della Maddalena,Jack Della Maddalena,Randy Brown,Jan-00,14-11,0-0,Jan-00,Welterweight,SUB-Rear-Naked-Choke,1,2:13,0.429895582,Jack Della Maddalena
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Justin Tafa,Justin Tafa,Parker Porter,Jan-00,7-Aug,0-0,0-0,Heavyweight,KO/TKO-Punch,1,1:06,0.148558073,Justin Tafa
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Draw,Jimmy Crute,Alonzo Menifield,0-2,31-56,Jun-00,Mar-00,Light Heavyweight,M-DEC,3,5:00,0.263476015,Jimmy Crute
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Modestas Bukauskas,Modestas Bukauskas,Tyson Pedro,0-0,44-45,0-2,0-0,Light Heavyweight,U-DEC,3,5:00,0.996755732,Tyson Pedro
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Josh Culibao,Josh Culibao,Melsik Baghdasaryan,0-0,16-26,0-0,Jan-00,Featherweight,SUB-Rear-Naked-Choke,2,2:02,0.752839369,Melsik Baghdasaryan
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Kleydson Rodrigues,Kleydson Rodrigues,Shannon Ross,Jan-00,14-1,0-0,0-0,Flyweight,KO/TKO-Punches,1,0:59,0.755158659,Shannon Ross
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Jamie Mullarkey,Jamie Mullarkey,Francisco Prado,0-0,59-28,Mar-00,0-1,Lightweight,U-DEC,3,5:00,0.827895553,Francisco Prado
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Jack Jenkins,Jack Jenkins,Don Shainis,0-0,82-50,1-Apr,0-2,Featherweight,U-DEC,3,5:00,0.772071286,Don Shainis
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Loma Lookboonmee,Loma Lookboonmee,Elise Reed,0-0,17-17,Feb-00,Jan-00,Women's Strawweight,SUB-Rear-Naked-Choke,2,0:44,0.654969848,Elise Reed
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Blake Bilder,Blake Bilder,Shane Young,0-0,111-80,Jan-00,0-0,Featherweight,U-DEC,3,5:00,0.748107636,Shane Young
UFC 284: Makhachev vs. Volkanovski,11-Feb-23,Elves Brener,Elves Brener,Zubaira Tukhugov,0-0,69-70,0-0,0-0,Lightweight,S-DEC,3,5:00,0.475621244,Elves Brener
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Serghei Spivac,Serghei Spivac,Derrick Lewis,0-0,Dec-00,Jun-00,Jan-00,Heavyweight,SUB-Arm-Triangle,1,3:05,0.62625511,Derrick Lewis
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Devin Clark,Devin Clark,Da Woon Jung,0-0,39-18,1-Mar,0-0,Light Heavyweight,U-DEC,3,5:00,0.132826165,Devin Clark
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Marcin Tybura,Marcin Tybura,Blagoy Ivanov,0-0,40-34,Jan-00,0-0,Heavyweight,U-DEC,3,5:00,0.268740574,Marcin Tybura
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Draw,Dooho Choi,Kyle Nelson,0-0,50-20,0-5,0-0,Featherweight,M-DEC,3,5:00,0.427777791,Dooho Choi
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Adam Fugitt,Adam Fugitt,Yusaku Kinoshita,0-0,21-10,Apr-00,0-0,Welterweight,KO/TKO-Elbows,1,4:36,0.604481786,Yusaku Kinoshita
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Anshul Jubli,Anshul Jubli,Jeka Saragih,0-0,38-14,Feb-00,Jan-00,Lightweight,KO/TKO-Elbows,2,3:44,0.144603803,Anshul Jubli
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,JeongYeong Lee,JeongYeong Lee,Yi Zha,0-0,25-24,0-5,0-0,Featherweight,S-DEC,3,5:00,0.246545403,JeongYeong Lee
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Rinya Nakamura,Rinya Nakamura,Toshiomi Kazama,Feb-00,4-Nov,0-0,0-0,Bantamweight,KO/TKO-Punch,1,0:33,0.23125804,Rinya Nakamura
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,HyunSung Park,HyunSung Park,SeungGuk Choi,0-1,38-20,Jan-00,Mar-00,Flyweight,SUB-Rear-Naked-Choke,3,3:11,0.421661799,HyunSung Park
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,JunYong Park,JunYong Park,Denis Tiuliulin,0-0,25-8,Jan-00,Jan-00,Middleweight,SUB-Rear-Naked-Choke,1,4:05,0.923085409,Denis Tiuliulin
UFC Fight Night: Lewis vs. Spivac,4-Feb-23,Tatsuro Taira,Tatsuro Taira,Jesus Aguilar,0-0,2-Jan,Jan-00,1-Feb,Flyweight,SUB-Triangle-Armbar,1,4:20,0.788520776,Jesus Aguilar
UFC 283: Teixeira vs. Hill,21-Jan-23,Jamahal Hill,Jamahal Hill,Glover Teixeira,0-0,232-75,0-2,0-0,Light Heavyweight,U-DEC,5,5:00,0.368107382,Jamahal Hill
UFC 283: Teixeira vs. Hill,21-Jan-23,Brandon Moreno,Brandon Moreno,Deiveson Figueiredo,0-0,48-19,1-Mar,0-2,Flyweight,KO/TKO,3,5:00,0.670734224,Deiveson Figueiredo
UFC 283: Teixeira vs. Hill,21-Jan-23,Gilbert Burns,Gilbert Burns,Neil Magny,0-0,4-May,Jan-00,Jan-00,Welterweight,SUB-Arm-Triangle,1,4:15,0.575223684,Neil Magny
UFC 283: Teixeira vs. Hill,21-Jan-23,Jessica Andrade,Jessica Andrade,Lauren Murphy,0-0,231-100,Jan-00,0-0,Women's Flyweight,U-DEC,3,5:00,0.01967525,Jessica Andrade
UFC 283: Teixeira vs. Hill,21-Jan-23,Johnny Walker,Johnny Walker,Paul Craig,Jan-00,16-3,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,2:16,0.656667258,Paul Craig
UFC 283: Teixeira vs. Hill,21-Jan-23,Ihor Potieria,Ihor Potieria,Mauricio Rua,Jan-00,21-17,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,4:05,0.885115049,Mauricio Rua
UFC 283: Teixeira vs. Hill,21-Jan-23,Brunno Ferreira,Brunno Ferreira,Gregory Rodrigues,Jan-00,22-21,0-0,0-0,Middleweight,KO/TKO-Punch,1,4:13,0.379006025,Brunno Ferreira
UFC 283: Teixeira vs. Hill,21-Jan-23,Thiago Moises,Thiago Moises,Melquizael Costa,0-0,22-23,Apr-00,Jan-00,Lightweight,SUB-Rear-Naked-Choke,2,4:05,0.737935633,Melquizael Costa
UFC 283: Teixeira vs. Hill,21-Jan-23,Gabriel Bonfim,Gabriel Bonfim,Mounir Lazzez,0-0,9-Sep,0-0,Jan-00,Welterweight,SUB-Guillotine-Choke,1,0:49,0.535266017,Mounir Lazzez
UFC 283: Teixeira vs. Hill,21-Jan-23,Jailton Almeida,Jailton Almeida,Shamil Abdurakhimov,0-0,45-1,Mar-00,0-0,Heavyweight,KO/TKO-Punches,2,2:56,0.00412924,Jailton Almeida
UFC 283: Teixeira vs. Hill,21-Jan-23,Cody Stamann,Cody Stamann,Luan Lacerda,0-0,103-80,0-1,0-0,Bantamweight,U-DEC,3,5:00,0.082449158,Cody Stamann
UFC 283: Teixeira vs. Hill,21-Jan-23,Ismael Bonfim,Ismael Bonfim,Terrance McKinney,Jan-00,34-14,Jan-00,0-0,Lightweight,KO/TKO-Flying-Knee,2,2:17,0.879258493,Terrance McKinney
UFC 283: Teixeira vs. Hill,21-Jan-23,Nicolas Dalby,Nicolas Dalby,Warlley Alves,0-0,119-66,0-1,0-0,Welterweight,S-DEC,3,5:00,0.645674838,Warlley Alves
UFC 283: Teixeira vs. Hill,21-Jan-23,Josiane Nunes,Josiane Nunes,Zarah Fairn,0-0,102-117,0-0,0-0,Women's Featherweight,U-DEC,3,5:00,0.930017845,Zarah Fairn
UFC 283: Teixeira vs. Hill,21-Jan-23,Daniel Marcos,Daniel Marcos,Saimon Oliveira,Jan-00,53-23,0-0,0-0,Bantamweight,KO/TKO-Knees,2,2:18,0.772783395,Saimon Oliveira
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Sean Strickland,Sean Strickland,Nassourdine Imavov,0-0,182-123,Jan-00,0-0,Light Heavyweight,U-DEC,5,5:00,0.061805452,Sean Strickland
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Dan Ige,Dan Ige,Damon Jackson,Jan-00,34-36,Jan-00,0-0,Featherweight,KO/TKO-Punch,2,4:13,0.630001915,Damon Jackson
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Roman Kopylov,Roman Kopylov,Punahele Soriano,0-0,82-39,Jan-00,0-0,Middleweight,KO/TKO-Kick,2,3:19,0.790497187,Punahele Soriano
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Raquel Pennington,Raquel Pennington,Ketlen Vieira,0-0,81-64,0-0,0-0,Women's Bantamweight,S-DEC,3,5:00,0.706049556,Ketlen Vieira
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Umar Nurmagomedov,Umar Nurmagomedov,Raoni Barcelos,Jan-00,36-13,0-0,0-0,Bantamweight,KO/TKO-Punch,1,4:40,0.878335384,Raoni Barcelos
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Javid Basharat,Javid Basharat,Mateus Mendonca,0-0,95-29,2-Mar,0-0,Bantamweight,U-DEC,3,5:00,0.512296923,Mateus Mendonca
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Abdul Razak Alhassan,Abdul Razak Alhassan,Claudio Ribeiro,Jan-00,17-19,0-0,0-0,Middleweight,KO/TKO-Punches,2,0:28,0.602091386,Claudio Ribeiro
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Mateusz Rebecki,Mateusz Rebecki,Nick Fiore,0-0,89-34,1-Mar,0-0,Lightweight,U-DEC,3,5:00,0.094667386,Mateusz Rebecki
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Allan Nascimento,Allan Nascimento,Carlos Hernandez,0-0,3-Jun,Feb-00,Jan-00,Flyweight,SUB-Rear-Naked-Choke,1,3:16,0.101310125,Allan Nascimento
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Dan Argueta,Dan Argueta,Nick Aguirre,0-0,47-14,Apr-00,1-Feb,Featherweight,U-DEC,3,5:00,0.701566807,Nick Aguirre
UFC Fight Night: Strickland vs. Imavov,14-Jan-23,Charles Johnson,Charles Johnson,Jimmy Flick,0-0,34-7,0-1,0-0,Flyweight,KO/TKO-Punches,1,4:33,0.784415216,Jimmy Flick
UFC Fight Night: Cannonier vs. Strickland,17-Dec-22,Jared Cannonier,Jared Cannonier,Sean Strickland,0-0,141-152,0-1,0-0,Middleweight,S-DEC,5,5:00,0.964045608,Sean Strickland
UFC Fight Night: Cannonier vs. Strickland,17-Dec-22,Arman Tsarukyan,Arman Tsarukyan,Damir Ismagulov,0-0,34-36,Jul-00,0-0,Lightweight,U-DEC,3,5:00,0.201455109,Arman Tsarukyan
